userId,movieId,rating,timestamp
1,9909,2.5,1260759144
1,11360,3.0,1260759179
1,819,3.0,1260759182
1,1103,2.0,1260759185
1,11216,4.0,1260759205
1,11778,2.0,1260759151
1,665,2.0,1260759187
1,783,2.0,1260759148
1,6114,3.5,1260759125
1,1598,2.0,1260759131
1,152,2.5,1260759135
1,3179,1.0,1260759203
1,1051,4.0,1260759191
1,97,4.0,1260759139
1,8393,3.0,1260759194
1,847,2.0,1260759198
1,8916,2.0,1260759108
1,9426,2.5,1260759113
1,36819,1.0,1260759200
1,11072,3.0,1260759117
2,710,4.0,835355493
2,4584,5.0,835355681
2,9603,5.0,835355604
2,807,4.0,835355552
2,629,4.0,835355586
2,11448,3.0,835356031
2,2054,3.0,835355749
2,197,4.0,835355532
2,16388,3.0,835356016
2,568,5.0,835355395
2,414,4.0,835355441
2,8963,3.0,835355493
2,1572,3.0,835355441
2,6520,3.0,835355710
2,1642,3.0,835355511
2,11472,3.0,835355664
2,9804,3.0,835355511
2,22625,5.0,835355840
2,2292,1.0,835355749
2,8984,3.0,835355552
2,522,3.0,835355664
2,17207,3.0,835355896
2,628,4.0,835355511
2,9587,4.0,835355681
2,18183,5.0,835355697
2,4476,5.0,835355586
2,11318,3.0,835355767
2,3036,4.0,835355779
2,6950,3.0,835355492
2,680,4.0,835355395
2,11450,3.0,835355532
2,14334,4.0,835356044
2,11395,2.0,835355551
2,9905,1.0,835355918
2,2064,3.0,835355492
2,9331,4.0,835355441
2,10731,4.0,835355697
2,13,3.0,835355628
2,712,3.0,835355749
2,8587,3.0,835355604
2,854,3.0,835355619
2,36593,2.0,835355932
2,12280,3.0,835355968
2,2788,3.0,835356094
2,1637,3.0,835355710
2,10395,3.0,835356165
2,8011,2.0,835356246
2,2758,3.0,835355532
2,37233,4.0,835355604
2,5503,3.0,835355511
2,10612,4.0,835355790
2,9386,2.0,835355828
2,329,4.0,835355643
2,9593,3.0,835355918
2,11971,3.0,835355880
2,788,4.0,835355731
2,9800,4.0,835355860
2,713,4.0,835355719
2,1245,4.0,835355817
2,424,4.0,835355731
2,12519,4.0,835356199
2,858,3.0,835355767
2,10635,3.0,835356109
2,9479,5.0,835355767
2,10057,3.0,835355860
2,9066,5.0,835355817
2,771,3.0,835355790
2,251,3.0,835355779
2,812,3.0,835355441
2,280,5.0,835355697
2,581,5.0,835355395
2,268,5.0,835355395
2,274,3.0,835355511
2,10112,3.0,835355932
2,10539,4.0,835356141
3,11359,3.0,1298861675
3,197,4.0,1298922049
3,1024,3.5,1298861637
3,11008,3.0,1298861761
3,680,4.5,1298862418
3,278,5.0,1298862121
3,888,2.5,1298861589
3,13,5.0,1298862167
3,1637,2.5,1298923242
3,424,3.0,1298862528
3,812,3.0,1298922100
3,268,3.0,1298923247
3,274,3.0,1298921840
3,10020,2.0,1298923260
3,664,3.5,1298932787
3,627,4.0,1298863157
3,9303,3.0,1298861687
3,2493,5.0,1298932770
3,1892,3.0,1298921795
3,343,4.0,1298861628
3,1633,3.0,1298861605
3,11967,4.0,1298861658
3,607,3.5,1298922089
3,597,4.5,1298923236
3,1878,4.0,1298863143
3,857,4.0,1298921862
3,10683,4.0,1298861753
3,8913,3.0,1298861789
3,9032,3.0,1298862710
3,10279,3.5,1298861796
3,620,3.0,1298924017
3,745,3.5,1298922057
3,11601,4.0,1298861733
3,14,4.0,1298921825
3,550,5.0,1298862874
3,10406,3.0,1298861968
3,10559,4.0,1298861633
3,641,5.0,1298863174
3,557,3.0,1298923266
3,1430,3.5,1298862672
3,12,3.0,1298922080
3,122,2.5,1298921787
3,38,3.0,1298922065
3,1777,3.5,1298861650
3,558,3.0,1298932766
3,44756,3.5,1298862555
3,752,3.5,1298932740
3,3683,4.5,1298862361
3,1251,4.5,1298862467
3,155,3.0,1298922071
3,34767,4.0,1298922130
4,710,4.0,949810645
4,9598,5.0,949919556
4,33542,5.0,949810582
4,11000,5.0,949919681
4,414,4.0,949811346
4,9482,3.0,949811346
4,1642,3.0,949920047
4,11,5.0,949779042
4,9058,4.0,949778802
4,680,5.0,949895708
4,193,3.0,949810618
4,9331,5.0,949810582
4,13,5.0,949919763
4,712,5.0,949919681
4,8587,5.0,949949538
4,854,4.0,949895887
4,36955,3.0,949810534
4,2758,3.0,949919883
4,6075,3.0,949895772
4,9350,4.0,949810688
4,9612,1.0,949920135
4,11566,4.0,949919802
4,9739,4.0,949920028
4,2019,4.0,949811315
4,329,5.0,949810582
4,78,5.0,949779091
4,812,5.0,949949486
4,280,5.0,949919938
4,581,3.0,949810534
4,408,5.0,949949538
4,10895,5.0,949949638
4,11827,4.0,949982238
4,10112,5.0,949949444
4,238,5.0,949779022
4,426,5.0,949919189
4,239,4.0,949919306
4,963,5.0,949919247
4,630,5.0,949949396
4,10869,4.0,949919454
4,15944,4.0,949919322
4,11224,5.0,949949638
4,433,5.0,949949638
4,11114,5.0,949896377
4,12335,5.0,949896377
4,12092,5.0,949949538
4,10948,5.0,949949638
4,562,5.0,949896244
4,252,5.0,949919372
4,623,5.0,949811523
4,500,5.0,949895732
4,601,5.0,949778771
4,11843,5.0,949919399
4,2756,5.0,949896275
4,762,5.0,949919372
4,11455,5.0,949919419
4,1891,5.0,949779173
4,2493,5.0,949811490
4,85,5.0,949779173
4,679,5.0,949896244
4,185,5.0,949896159
4,28,5.0,949779173
4,1892,5.0,949778714
4,769,5.0,949895708
4,348,5.0,949810261
4,539,5.0,949779173
4,525,5.0,949811523
4,600,5.0,949918693
4,279,5.0,949779173
4,703,5.0,949919372
4,218,5.0,949896244
4,18971,5.0,949919519
4,13667,5.0,949811602
4,694,5.0,949918743
4,235,4.0,949811559
4,137,5.0,949919591
4,105,5.0,949811523
4,3034,5.0,949919372
4,756,5.0,949949396
4,2640,4.0,949811559
4,11031,5.0,949811490
4,89,5.0,949918743
4,12104,4.0,949918927
4,639,4.0,949811602
4,32076,4.0,949896275
4,8851,5.0,949982274
4,11349,5.0,949919247
4,199,4.0,949810582
4,152,4.0,949810302
4,174,3.0,949920004
4,154,4.0,949918787
4,168,3.0,949918904
4,364,3.0,949810688
4,621,5.0,949896377
4,578,5.0,949810261
